{first_ts=69000, last_ts=70000, value=29.0, key=959}
{first_ts=69000, last_ts=70000, value=28.5, key=933}
{first_ts=71000, last_ts=72000, value=30.5, key=786}
{first_ts=72000, last_ts=73000, value=32.0, key=979}
{first_ts=14000, last_ts=16000, value=14.333333333333334, key=267}
{first_ts=7000, last_ts=16000, value=21.2, key=198}
{first_ts=15000, last_ts=17000, value=18.333333333333332, key=282}
{first_ts=19000, last_ts=22000, value=17.5, key=399}
{first_ts=22000, last_ts=24000, value=19.666666666666668, key=198}
{first_ts=28000, last_ts=31000, value=22.25, key=198}
{first_ts=29000, last_ts=31000, value=21.666666666666668, key=723}
{first_ts=30000, last_ts=31000, value=38.0, key=195}
{first_ts=32000, last_ts=33000, value=32.0, key=142}
